first_name,last_name,sex,book
Oedipa ,Maas,F,The Crying of Lot 49
Mucho,Maas,M,The Crying of Lot 49
 ,Hilarius,M,The Crying of Lot 49
Randy,Driblette,M,The Crying of Lot 49
Mike,Fallopian,M,The Crying of Lot 49
Gengis,Cohen,M,The Crying of Lot 49
Benny,Profane,M,V
Rachel,Owlglass,F,V
Herbert,Stencil,M,V
Clayton,Chiclitz,M,V
Slab,,M,V
Mafia,Winsome,M,V
McClintic,Sphere,M,V
Ferguson,Mixolydian,M,V
Pig,Bodine,M,V
Tyrone,Slothrop,M,Gravity's Rainbow
Captain,Blicero,M,Gravity's Rainbow
Horst,Achtfaden,M,Gravity's Rainbow
Lyle,Bland,M,Gravity's Rainbow
Teddy,Bloat,M,Gravity's Rainbow
Seaman,Bodine,M,Gravity's Rainbow
Säure ,Bummer,M,Gravity's Rainbow
Milton,Gloaming,M,Gravity's Rainbow
Roger,Mexico,M,Gravity's Rainbow
Brigadier,Pudding,M,Gravity's Rainbow
Mrs.,Quoad,F,Gravity's Rainbow
Schnorp,,M,Gravity's Rainbow
Edwin,Treacle,M,Gravity's Rainbow
Stefan,Utgarthaloki,M,Gravity's Rainbow
Richard,Zhlubb,M,Gravity's Rainbow
Zoyd,Wheeler,M,Vineland
Brock,Vond,M,Vineland
Wicks,Cherrycoke,M,Mason & Dixon
Chick,Counterfly,M,Against The Day
Darby,Suckling,M,Against The Day
Randolph,St. Cosmo,M,Against The Day
Ruperta,Chirpingden-Groin,F,Against The Day
Sloat,Fresno,M,Against The Day
Yashmeen ,Halfcourt,F,Against The Day
Kieselguhr ,Kid,M,Against The Day
Deuce,Kindred,M,Against The Day
Cyprian,Latewood,M,Against The Day
Hunter,Penhallow,M,Against The Day
Colfax,Vibe,M,Against The Day
Lionel,Swome,M,Against The Day
Shasta,Fay,F,Inherent Vice
Puck,Beaverton,M,Inherent Vice
Bigfoot,Bjornsen,M,Inherent Vice
Rudy,Blatnoyd,M,Inherent Vice
Fritz,Drybeam,M,Inherent Vice
Trillium,Fortnight,M,Inherent Vice
Rhus,Frothingham,M,Inherent Vice
Amethyst,Harlingen,F,Inherent Vice
Sauncho,Smilax,M,Inherent Vice
Boris,Spivey,M,Inherent Vice
Doc,Sportello,M,Inherent Vice
Jason,Velveeta,M,Inherent Vice
Tito,Stavrou,M,Inherent Vice
Burke,Stodger,M,Inherent Vice
Riggs,Warbling,M,Inherent Vice
Zigzag,Twong,M,Inherent Vice
Zirconia,,F,Inherent Vice
Farley,Branch,M,Inherent Vice
Hugo,Borderline,M,Inherent Vice
Chlorinda,,F,Inherent Vice
Clancy,Charlock,M,Inherent Vice
Scott,Oof,M,Inherent Vice
Smedley,,M,Inherent Vice
Art,Tweedle,M,Inherent Vice
Leonard,Loosemeat,M,Inherent Vice
Ensendada,Slim,M,Inherent Vice
Petunia,Leeway,F,Inherent Vice
Buddy,Tubside,M,Inherent Vice
Vyrva,McElmo,F,Bleeding Edge
Eric,Outfield,M,Bleeding Edge
Horst,Loeffler,M,Bleeding Edge
Reg,Despard,M,Bleeding Edge
Phipps,Boïngueaux,M,Bleeding Edge
Rockwell,Slagiatt,M,Bleeding Edge
Lester,Traipse,M,Bleeding Edge
Meatball,Mulligan,M,Slow Learner
